method,condition,codec,kbps,pix_fmt,lossless,group,mae,ci_low,ci_high,n_subjects
pos,lossless_rgb,ffv1,,bgr0,True,I-III,7.870989706394411,2.8530807318350178,14.204258935188825,18
pos,lossless_rgb,ffv1,,bgr0,True,IV-VI,16.62803972775873,8.874714519869274,25.255239731608423,18
pos,lossless_yuv420,h264,,yuv420p,True,I-III,7.878404205052323,3.13661935175458,13.767557901109765,18
pos,lossless_yuv420,h264,,yuv420p,True,IV-VI,14.151679973086097,6.5625484236642455,22.293317535983856,18
pos,lossless_yuv444,h264,,yuv444p,True,I-III,7.084968939308571,2.572952358755818,12.571672508147927,18
pos,lossless_yuv444,h264,,yuv444p,True,IV-VI,15.236933269635696,8.304901609471326,22.986415575647154,18
pos,vp9_100k,vp9,100.0,yuv420p,False,I-III,18.695927156864446,13.377352692565234,24.26496928104311,18
pos,vp9_100k,vp9,100.0,yuv420p,False,IV-VI,25.02298790201559,20.66618289818276,29.626879128682635,18
pos,vp9_1600k,vp9,1600.0,yuv420p,False,I-III,6.7441399088715706,2.9466605185596704,11.798563058154834,18
pos,vp9_1600k,vp9,1600.0,yuv420p,False,IV-VI,14.76983671767068,7.772160185074663,22.879060443289482,18
pos,vp9_200k,vp9,200.0,yuv420p,False,I-III,17.352717977750487,11.991483601137293,23.25940678818186,18
pos,vp9_200k,vp9,200.0,yuv420p,False,IV-VI,24.32161445964206,17.96453700714586,30.554847953302417,18
pos,vp9_400k,vp9,400.0,yuv420p,False,I-III,12.325996508803316,6.49452404420786,19.180031454905595,18
pos,vp9_400k,vp9,400.0,yuv420p,False,IV-VI,21.11435882296129,14.940600039952438,27.62117183348366,18
pos,vp9_800k,vp9,800.0,yuv420p,False,I-III,9.145932031817093,3.925739242962145,15.096052414549487,18
pos,vp9_800k,vp9,800.0,yuv420p,False,IV-VI,14.544530286933698,8.640910645436907,21.301129064985364,18
pos_mask,h264_100k,h264,100.0,yuv420p,False,I-III,20.098975812934825,16.48566853155989,23.634554581457127,18
pos_mask,h264_100k,h264,100.0,yuv420p,False,IV-VI,21.363910186169342,17.953190513964866,24.958989579286804,18
pos_mask,h264_1600k,h264,1600.0,yuv420p,False,I-III,8.38285095498404,6.297076753918625,10.96405621497833,18
pos_mask,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,12.303437675350914,9.025638970448506,16.08613627827527,18
pos_mask,h264_200k,h264,200.0,yuv420p,False,I-III,16.816268221954488,12.844969546955609,20.842668599468137,18
pos_mask,h264_200k,h264,200.0,yuv420p,False,IV-VI,21.395943551558727,17.73190376368014,25.35998650521504,18
pos_mask,h264_400k,h264,400.0,yuv420p,False,I-III,14.524493549264172,11.220183141484672,17.517007696003,18
pos_mask,h264_400k,h264,400.0,yuv420p,False,IV-VI,17.748667824935527,13.228113020756929,22.36595694599703,18
pos_mask,h264_444_100k,h264,100.0,yuv444p,False,I-III,20.771203929803285,17.26019929223677,24.40540194155237,18
pos_mask,h264_444_100k,h264,100.0,yuv444p,False,IV-VI,21.653884663964277,17.475453812972148,26.71797917071391,18
pos_mask,h264_444_1600k,h264,1600.0,yuv444p,False,I-III,20.73878969972365,15.987985140234855,25.821266700483335,18
pos_mask,h264_444_1600k,h264,1600.0,yuv444p,False,IV-VI,23.984399937091567,19.195183750091612,28.434771731345965,18
pos_mask,h264_444_200k,h264,200.0,yuv444p,False,I-III,20.307706427344,16.31719990345302,24.493441449047037,18
pos_mask,h264_444_200k,h264,200.0,yuv444p,False,IV-VI,25.6817118350109,20.74732271134156,31.281517180065958,18
pos_mask,h264_444_400k,h264,400.0,yuv444p,False,I-III,19.20661399742208,15.757686579264613,22.731299488785798,18
pos_mask,h264_444_400k,h264,400.0,yuv444p,False,IV-VI,24.278600623863348,19.526812374604233,28.703748514233492,18
pos_mask,h264_444_800k,h264,800.0,yuv444p,False,I-III,19.77751909060258,15.524279917357404,24.83559423911542,18
pos_mask,h264_444_800k,h264,800.0,yuv444p,False,IV-VI,25.568543249805472,20.888672063160772,30.15533453557412,18
pos_mask,h264_800k,h264,800.0,yuv420p,False,I-III,9.684229239773321,6.992359197292538,12.797636364993972,18
pos_mask,h264_800k,h264,800.0,yuv420p,False,IV-VI,17.607538945518098,13.300456485161162,22.357081652098696,18
pos_mask,h265_100k,h265,100.0,yuv420p,False,I-III,15.006277138986396,12.310987174602829,18.286992494458396,18
pos_mask,h265_100k,h265,100.0,yuv420p,False,IV-VI,19.368762499997374,15.02256842805217,23.313265104557807,18
pos_mask,h265_1600k,h265,1600.0,yuv420p,False,I-III,11.466693072234872,8.439289529493303,14.540037747505297,18
pos_mask,h265_1600k,h265,1600.0,yuv420p,False,IV-VI,19.337584672827816,14.436368713054444,24.560058530591082,18
pos_mask,h265_200k,h265,200.0,yuv420p,False,I-III,11.46316385733724,8.394305023587833,14.894639390537137,18
pos_mask,h265_200k,h265,200.0,yuv420p,False,IV-VI,17.850701741125214,12.854454815747095,22.862226787068455,18
pos_mask,h265_400k,h265,400.0,yuv420p,False,I-III,11.937718402361494,8.175492891097225,16.411131956701137,18
pos_mask,h265_400k,h265,400.0,yuv420p,False,IV-VI,18.676203490759026,14.57160995411946,23.559799505712377,18
pos_mask,h265_800k,h265,800.0,yuv420p,False,I-III,12.382189523928671,8.59463660460592,16.411782993458385,18
pos_mask,h265_800k,h265,800.0,yuv420p,False,IV-VI,15.36363052902038,11.039044977099822,20.25396371959327,18
pos_mask,lossless_rgb,ffv1,,bgr0,True,I-III,7.041084864748338,3.6588651871384807,10.847327194336128,18
pos_mask,lossless_rgb,ffv1,,bgr0,True,IV-VI,11.122736775149704,6.412272697055204,16.21994881316655,18
pos_mask,lossless_yuv420,h264,,yuv420p,True,I-III,6.239760505575033,3.2161067229771474,9.613846049641936,18
pos_mask,lossless_yuv420,h264,,yuv420p,True,IV-VI,10.62950735287974,5.924426859697212,16.11017465991231,18
