subject,fitzpatrick,source,condition,codec,kbps,pix_fmt,lossless,detect_rate,window,method,ref_bpm,est_bpm,quality,confident,w_green,w_chrom,w_pos
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,pos_mask,78.66718410470301,78.5751745733448,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,0,pos_wiener,78.66718410470301,78.11040599515565,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,green,79.47932984697168,51.02863048613535,0.4688478338588823,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,ica,79.47932984697168,51.17483186225064,0.5297981330223743,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,chrom,79.47932984697168,79.09932215300579,0.4107890262973331,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,pos,79.47932984697168,79.11678091053889,0.4325422266896156,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,trace_v1,79.47932984697168,79.1185814826668,0.2879255986737825,True,0.4911547344364356,0.21525101860053722,0.29359424696302727
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,trace_v2,79.47932984697168,79.03873917615793,0.418174231385477,True,0.1564111815128811,0.4032129184186655,0.44037590006845323
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,trace,79.47932984697168,79.03873917615793,0.418174231385477,True,0.1564111815128811,0.4032129184186655,0.44037590006845323
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,pos_mask,79.47932984697168,79.04290600048617,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,1,pos_wiener,79.47932984697168,79.11670255070658,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,green,78.6163527547611,48.214481347995765,0.5038479518320681,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,ica,78.6163527547611,48.32555445128003,0.5444155578566502,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,chrom,78.6163527547611,78.7729195794002,0.5008730286328836,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,pos,78.6163527547611,78.64545362484738,0.4971637264674014,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,trace_v1,78.6163527547611,48.222655630144,0.33821730540762834,True,0.6200858736588042,0.16546810202100865,0.21444602432018708
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,trace_v2,78.6163527547611,78.52259198014245,0.49009808713080766,True,0.1934009488696424,0.38506478657242693,0.4215342645579307
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,trace,78.6163527547611,78.52259198014245,0.49009808713080766,True,0.1934009488696424,0.38506478657242693,0.4215342645579307
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,pos_mask,78.6163527547611,78.36117680393461,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,2,pos_wiener,78.6163527547611,78.64509449201807,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,green,77.2427690076677,47.50303569937136,0.5942341235055166,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,ica,77.2427690076677,47.70638044062364,0.5584568985950941,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,chrom,77.2427690076677,76.92474228283656,0.46065102152455245,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,pos,77.2427690076677,77.07964679912475,0.49890937066352953,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,trace_v1,77.2427690076677,47.42808643713042,0.4322126086448284,True,0.7555067436933435,0.08576651075045684,0.15872674555619978
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,trace_v2,77.2427690076677,77.23109130321592,0.43529991146690866,True,0.2699983071654206,0.3416490195819613,0.3883526732526181
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,trace,77.2427690076677,77.23109130321592,0.43529991146690866,True,0.2699983071654206,0.3416490195819613,0.3883526732526181
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,pos_mask,77.2427690076677,77.44853664672185,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,3,pos_wiener,77.2427690076677,77.08008753012402,,,,,
s1_3100,1,simulated,lossless_yuv444,h264,,yuv444p,True,1.0,4,green,76.14910419902674,50.42899707691566,0.600735772789219,,,,
